date,state,positive
20200411,AS,0
20200411,AZ,3393
20200411,CA,19472
20200411,CO,6510
20200411,CT,11510
20200411,DC,1778
20200411,DE,1479
20200411,FL,18494
20200411,GA,12159
20200411,GU,133
20200411,HI,465
20200411,IA,1510
20200411,ID,1396
20200411,IL,19180
20200411,IN,7435
20200411,KS,1268
20200411,KY,1693
20200411,LA,20014
20200411,MA,22766
20200411,MD,7694
20200411,ME,616
20200411,MI,23993
20200411,MN,1427
20200411,MO,4024
20200411,MP,11
20200411,MS,2642
20200411,MT,377
20200411,NC,4312
20200411,ND,293
20200411,NE,700
20200411,NH,885
20200411,NJ,58151
20200411,NM,1091
20200411,NV,2700
20200411,NY,180458
20200411,OH,6187
20200411,OK,1868
20200411,OR,1371
20200411,PA,21655
20200411,PR,788
20200411,RI,2349
20200411,SC,3207
20200411,SD,626
20200411,TN,5114
20200411,TX,12561
20200411,UT,2206
20200411,VA,5077
20200411,VI,51
20200411,VT,711
20200411,WA,10162
20200411,WI,3213
20200411,WV,577
20200411,WY,261
20200410,AK,246
20200410,AL,2968
20200410,AR,1171
20200410,AS,0
20200410,AZ,3112
20200410,CA,19472
20200410,CO,6510
20200410,CT,10538
20200410,DC,1660
20200410,DE,1326
20200410,FL,17531
20200410,GA,11483
20200410,GU,130
20200410,HI,442
20200410,IA,1388
20200410,ID,1353
20200410,IL,17887
20200410,IN,6907
20200410,KS,1166
20200410,KY,1693
20200410,LA,19253
20200410,MA,20878
20200410,MD,6968
20200410,ME,586
20200410,MI,22783
20200410,MN,1336
20200410,MO,3799
20200410,MP,11
20200410,MS,2469
20200410,MT,365
20200410,NC,3908
20200410,ND,278
20200410,NE,635
20200410,NH,819
20200410,NJ,54588
20200410,NM,1091
20200410,NV,2584
20200410,NY,170512
20200410,OH,5836
20200410,OK,1794
20200410,OR,1321
20200410,PA,19979
20200410,PR,725
20200410,RI,2015
20200410,SC,3065
20200410,SD,536
20200410,TN,4862
20200410,TX,11671
20200410,UT,2102
20200410,VA,4509
20200410,VI,50
20200410,VT,679
20200410,WA,9941
20200410,WI,3068
20200410,WV,554
20200410,WY,253
20200409,AK,235
20200409,AL,2769
20200409,AR,1119
20200409,AS,0
20200409,AZ,3018
20200409,CA,18309
20200409,CO,5655
20200409,CT,9784
20200409,DC,1523
20200409,DE,1207
20200409,FL,16364
20200409,GA,10566
20200409,GU,128
20200409,HI,435
20200409,IA,1270
